Date,Place,URI
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Manitou Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Cascade, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Estes Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Woodland Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/8?oldid=3614088"
1905-08-02,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/9?oldid=3614101"
1907-04-07,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/2?oldid=3603780"
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Manitou Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Cascade, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Estes Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Woodland Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/8?oldid=3614088"
1905-08-02,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/9?oldid=3614101"
1905-08-03,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/10?oldid=3614105"
1905-08-03,"Lake George, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1905-08-03,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1907-04-07,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/2?oldid=3603780"
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Manitou Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Cascade, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Estes Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Woodland Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/8?oldid=3614088"
1905-08-02,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/9?oldid=3614101"
1905-08-03,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/10?oldid=3614105"
1905-08-03,"Lake George, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1905-08-03,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1905-08-04,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/14?oldid=3614106"
1907-04-07,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/2?oldid=3603780"
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Manitou Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Cascade, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Estes Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Woodland Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
1905-08-01,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/8?oldid=3614088"
1905-08-02,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/9?oldid=3614101"
1905-08-03,"Florissant Lake","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/10?oldid=3614105"
1905-08-03,"Lake George, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1905-08-03,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/11?oldid=3575106"
1905-08-04,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/14?oldid=3614106"
1905-08-05,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/17?oldid=3614107"
1907-04-07,"Twin Creek, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/2?oldid=3603780"
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Manitou Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Cascade, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Estes Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Green Mountain Falls, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Woodland Park, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
1905-08-01,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/7?oldid=3616326"
